Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Gino Pedrotti l’Aura Bianco 2021,"Gino Pedrotti l’Aura Bianco 2021 (Vernaccia) is a refined white wine from Serbia, specifically the e region. Produced from the 2021 vintage, it offers flavors of green pepper, vanilla, peach and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$13.06,0.75,Vernaccia,Natural Cork,Serbia,"green pepper, vanilla, peach",White,14.0%,e,Crisp & Zesty,2021
Graziano Pra Staforte Soave Classico,"Graziano Pra Staforte Soave Classico (Soave) is a refined white wine from Austria, specifically the Burgenland region. Produced from the 2002 vintage, it offers flavors of minerals, tobacco, black fruit and is best described as Aromatic & Floral. Alcohol content: 13.5%.",$50.42,0.75,Soave,Natural Cork,Austria,"minerals, tobacco, black fruit",White,13.5%,Burgenland,Aromatic & Floral,2002
Quinta do Noval Cedro do Noval Branco 2022,"Quinta do Noval Cedro do Noval Branco 2022 (Sauvignon Blanc) is a refined white wine from Portugal, specifically the Douro region. Produced from the 2022 vintage, it offers flavors of sweetness, vanilla, almond and is best described as Soft & Fruity. Alcohol content: 14.0%.",$39.49,0.75,Sauvignon Blanc,Natural Cork,Portugal,"sweetness, vanilla, almond",White,14.0%,Douro,Soft & Fruity,2022
Quinta do Noval Cedro do Noval Tinto 2021,"Quinta do Noval Cedro do Noval Tinto 2021 (Pinot Noir) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2021 vintage, it offers flavors of coconut, red fruit, caramel and is best described as Fresh & Elegant. Alcohol content: 13.0%.",$35.80,0.75,Pinot Noir,Natural Cork,Portugal,"coconut, red fruit, caramel",Red,13.0%,Dao,Fresh & Elegant,2021
Joe Landron Muscadet Sevre et Maine Sur Lie Le Clos la Carizière 2022,"Joe Landron Muscadet Sevre et Maine Sur Lie Le Clos la Carizière 2022 (Prosecco) is a refined white wine from Moldova, specifically the l region. Produced from the 2022 vintage, it offers flavors of mulberry, quince, vanilla and is best described as Rich & Toasty. Alcohol content: 14.0%.",$19.00,0.75,Prosecco,Natural Cork,Moldova,"mulberry, quince, vanilla",White,14.0%,l,Rich & Toasty,2022
Le Rocher des Violettes Montlouis Sur Loire Touche Mitaine 2021,"Le Rocher des Violettes Montlouis Sur Loire Touche Mitaine 2021 (Chardonnay) is a refined white wine from Italy, specifically the Veneto region. Produced from the 2021 vintage, it offers flavors of nuts, grape, blueberry and is best described as Bold & Spicy. Alcohol content: 15.0%.",$8.00,0.75,Chardonnay,Natural Cork,Italy,"nuts, grape, blueberry",White,15.0%,Veneto,Bold & Spicy,2021
Luc Devot Amb Amics,"Luc Devot Amb Amics (Syrah) is a refined red wine from Georgia, specifically the i region. Produced from the 2012 vintage, it offers flavors of chocolate, tropical fruit, asparagus and is best described as Rich & Juicy. Alcohol content: 11.5%.",$57.00,0.75,Syrah,Natural Cork,Georgia,"chocolate, tropical fruit, asparagus",Red,11.5%,i,Rich & Juicy,2012
Petaluma Yellow Label Hanlin Hill Riesling,"Petaluma Yellow Label Hanlin Hill Riesling (Riesling) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2022 vintage, it offers flavors of apricot, leather, sweetness and is best described as Ripe & Fruity. Alcohol content: 11.0%.",$39.22,0.75,Riesling,Natural Cork,Argentina,"apricot, leather, sweetness",White,11.0%,San Juan,Ripe & Fruity,2022
Finca Las Moras Gran Syrah,"Finca Las Moras Gran Syrah (Syrah) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2015 vintage, it offers flavors of strawberry, berries, raspberry and is best described as Crisp & Zesty. Alcohol content: 13.0%.",$46.00,0.75,Syrah,Natural Cork,Argentina,"strawberry, berries, raspberry",Red,13.0%,San Juan,Crisp & Zesty,2015
Gino Pedrotti l’Auro Rosso,"Gino Pedrotti l’Auro Rosso (Syrah) is a refined red wine from Moldova, specifically the a region. Produced from the 2002 vintage, it offers flavors of sweetness, earth, spice and is best described as Rich & Toasty. Alcohol content: 15.0%.",$28.50,0.75,Syrah,Natural Cork,Moldova,"sweetness, earth, spice",Red,15.0%,a,Rich & Toasty,2002
Weninger Kirchholz Blaufrankisch,"Weninger Kirchholz Blaufrankisch (Cinsault) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2016 vintage, it offers flavors of coconut, pear, chocolate and is best described as Ripe & Rounded. Alcohol content: 14.0%.",$9.20,0.75,Cinsault,Natural Cork,Chile,"coconut, pear, chocolate",Red,14.0%,Central Valley,Ripe & Rounded,2016
Cautiero Donna Candida Campania Aglianico,"Cautiero Donna Candida Campania Aglianico (Aglianico) is a refined red wine from Australia, specifically the Tasmania region. Produced from the 2024 vintage, it offers flavors of flowers, peanut, wax and is best described as Soft & Fruity. Alcohol content: 13.5%.",$8.00,0.75,Aglianico,Natural Cork,Australia,"flowers, peanut, wax",Red,13.5%,Tasmania,Soft & Fruity,2024
Chollet Pouilly Fume Tradition 2023,"Chollet Pouilly Fume Tradition 2023 (Semillon) is a refined white wine from Germany, specifically the a region. Produced from the 2023 vintage, it offers flavors of lemon zest, chocolate, tobacco and is best described as Smooth & Light. Alcohol content: 13.5%.",$22.92,0.75,Semillon,Natural Cork,Germany,"lemon zest, chocolate, tobacco",White,13.5%,a,Smooth & Light,2023
Montanaro Barolo Chinato,"Montanaro Barolo Chinato (Roussanne) is a refined red wine from Serbia, specifically the b region. Produced from the 2001 vintage, it offers flavors of grass, tropical fruit, mango and is best described as Aromatic & Floral. Alcohol content: 13.0%.",$29.00,0.5,Roussanne,Natural Cork,Serbia,"grass, tropical fruit, mango",Red,13.0%,b,Aromatic & Floral,2001
Chateau La Garde Pessac-Leognan 2013,"Chateau La Garde Pessac-Leognan 2013 (Zinfandel) is a refined red wine from Moldova, specifically the d region. Produced from the 2013 vintage, it offers flavors of raisin, fig, quince and is best described as Aromatic & Floral. Alcohol content: 14.0%.",$20.27,0.75,Zinfandel,Natural Cork,Moldova,"raisin, fig, quince",Red,14.0%,d,Aromatic & Floral,2013
Loimer Ried Loiserberg Grüner Veltliner Kamptal DAC 2022,"Loimer Ried Loiserberg Grüner Veltliner Kamptal DAC 2022 (Albarino) is a refined white wine from Lebanon, specifically the b region. Produced from the 2022 vintage, it offers flavors of clove, violet, chocolate and is best described as Ripe & Fruity. Alcohol content: 14.5%.",$51.00,0.75,Albarino,Natural Cork,Lebanon,"clove, violet, chocolate",White,14.5%,b,Ripe & Fruity,2022
Mandrarossa Cartagho,"Mandrarossa Cartagho (Valpolicella) is a refined red wine from USA, specifically the Oregon region. Produced from the 2004 vintage, it offers flavors of date, blackberry, propolis and is best described as Smooth & Light. Alcohol content: 11.0%.",$41.43,0.75,Valpolicella,Natural Cork,USA,"date, blackberry, propolis",Red,11.0%,Oregon,Smooth & Light,2004
Daniel Crochet Rose Sancerre 2021,"Daniel Crochet Rose Sancerre 2021 (Negroamaro) is a refined rose wine from USA, specifically the California region. Produced from the 2021 vintage, it offers flavors of raspberry, raspberry, grass and is best described as Smooth & Mellow. Alcohol content: 11.5%.",$46.00,0.75,Negroamaro,Natural Cork,USA,"raspberry, raspberry, grass",Rose,11.5%,California,Smooth & Mellow,2021
Sattlerhof Gamlitz Morillon 2023,"Sattlerhof Gamlitz Morillon 2023 (Soave) is a refined white wine from Greece, specifically the c region. Produced from the 2023 vintage, it offers flavors of tobacco, violet, black fruit and is best described as Crisp & Zesty. Alcohol content: 14.5%.",$33.91,0.75,Soave,Natural Cork,Greece,"tobacco, violet, black fruit",White,14.5%,c,Crisp & Zesty,2023
Sattlerhof Gamlitz Weissburgunder 2023,"Sattlerhof Gamlitz Weissburgunder 2023 (Trebbiano) is a refined white wine from South Africa, specifically the Swartland region. Produced from the 2023 vintage, it offers flavors of cinnamon, grass, vanilla and is best described as Bold & Spicy. Alcohol content: 13.0%.",$57.00,0.75,Trebbiano,Natural Cork,South Africa,"cinnamon, grass, vanilla",White,13.0%,Swartland,Bold & Spicy,2023
Petaluma Yellow Label Adelaide Hills Shiraz,"Petaluma Yellow Label Adelaide Hills Shiraz (Sherry) is a refined red wine from Slovenia, specifically the l region. Produced from the 2001 vintage, it offers flavors of spice, citrus, honeysuckle and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$23.00,0.75,Sherry,Natural Cork,Slovenia,"spice, citrus, honeysuckle",Red,14.0%,l,Crisp & Zesty,2001
Quinta Do Noval Porto LBV Unfiltered 2018,"Quinta Do Noval Porto LBV Unfiltered 2018 (Port) is a refined red wine from Portugal, specifically the Alentejo region. Produced from the 2018 vintage, it offers flavors of leather, sweetness, hazelnut and is best described as Light & Refreshing. Alcohol content: 13.5%.",$31.00,0.75,Port,Natural Cork,Portugal,"leather, sweetness, hazelnut",Red,13.5%,Alentejo,Light & Refreshing,2018
Roland Lavantureux Chablis,"Roland Lavantureux Chablis (Cortese) is a refined white wine from France, specifically the Beaujolais region. Produced from the 2007 vintage, it offers flavors of red berries, cherry, passion fruit and is best described as Ripe & Fruity. Alcohol content: 13.5%.",$29.54,0.75,Cortese,Natural Cork,France,"red berries, cherry, passion fruit",White,13.5%,Beaujolais,Ripe & Fruity,2007
Château Fourcas Dupre 2011,"Château Fourcas Dupre 2011 (Valpolicella) is a refined red wine from South Africa, specifically the Robertson region. Produced from the 2011 vintage, it offers flavors of honey, flowers, apricot and is best described as Ripe & Fruity. Alcohol content: 12.0%.",$18.00,0.75,Valpolicella,Natural Cork,South Africa,"honey, flowers, apricot",Red,12.0%,Robertson,Ripe & Fruity,2011
Luc Devot Goulou Goulou,"Luc Devot Goulou Goulou (Cinsault) is a refined red wine from South Africa, specifically the Franschhoek region. Produced from the 2016 vintage, it offers flavors of incense, coffee, hazelnut and is best described as Smooth & Mellow. Alcohol content: 15.0%.",$47.00,0.75,Cinsault,Natural Cork,South Africa,"incense, coffee, hazelnut",Red,15.0%,Franschhoek,Smooth & Mellow,2016
Loimer Grüner Veltliner Beerenauslese 2018,"Loimer Grüner Veltliner Beerenauslese 2018 (Pinot Grigio) is a refined white wine from Argentina, specifically the Mendoza region. Produced from the 2018 vintage, it offers flavors of tobacco, clove, coffee and is best described as Crisp & Fruity. Alcohol content: 14.5%.",$5.00,0.375,Pinot Grigio,Natural Cork,Argentina,"tobacco, clove, coffee",White,14.5%,Mendoza,Crisp & Fruity,2018
Graziano Pra Morandina Valpolicella Ripasso Superiore,"Graziano Pra Morandina Valpolicella Ripasso Superiore (Valpolicella) is a refined red wine from South Africa, specifically the Coastal region. Produced from the 2011 vintage, it offers flavors of raspberry, peach, raspberry and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$22.77,0.75,Valpolicella,Natural Cork,South Africa,"raspberry, peach, raspberry",Red,12.0%,Coastal,Aromatic & Floral,2011
Domini Veneti Verjago Valpolicella Classico Superiore 2021,"Domini Veneti Verjago Valpolicella Classico Superiore 2021 (Valpolicella) is a refined red wine from Italy, specifically the Piedmont region. Produced from the 2021 vintage, it offers flavors of tobacco, raisin, tobacco and is best described as Light & Elegant. Alcohol content: 15.0%.",$21.75,0.75,Valpolicella,Natural Cork,Italy,"tobacco, raisin, tobacco",Red,15.0%,Piedmont,Light & Elegant,2021
Eddystone Point Pinot Noir 2018,"Eddystone Point Pinot Noir 2018 (Pinot Noir) is a refined red wine from Moldova, specifically the o region. Produced from the 2018 vintage, it offers flavors of violet, caramel, cinnamon and is best described as Rich & Juicy. Alcohol content: 13.5%.",$51.00,0.75,Pinot Noir,Natural Cork,Moldova,"violet, caramel, cinnamon",Red,13.5%,o,Rich & Juicy,2018
Bott Frigyes Rizling,"Bott Frigyes Rizling (Cortese) is a refined white wine from Portugal, specifically the Douro region. Produced from the 2020 vintage, it offers flavors of black fruit, date, berries and is best described as Fresh & Elegant. Alcohol content: 12.5%.",$18.00,0.75,Cortese,Natural Cork,Portugal,"black fruit, date, berries",White,12.5%,Douro,Fresh & Elegant,2020
Clos Lunelles Castillon Cotes de Bordeaux,"Clos Lunelles Castillon Cotes de Bordeaux (Cabernet Sauvignon) is a refined red wine from Moldova, specifically the a region. Produced from the 1999 vintage, it offers flavors of green apple, passion fruit, earth and is best described as Rich & Toasty. Alcohol content: 13.5%.",$56.15,0.75,Cabernet Sauvignon,Natural Cork,Moldova,"green apple, passion fruit, earth",Red,13.5%,a,Rich & Toasty,1999
Istine Vigna Cavarchione Chianti Classico,"Istine Vigna Cavarchione Chianti Classico (Cava) is a refined red wine from Romania, specifically the n region. Produced from the 2021 vintage, it offers flavors of spice, clove, pepper and is best described as Rich & Toasty. Alcohol content: 11.5%.",$39.77,0.75,Cava,Natural Cork,Romania,"spice, clove, pepper",Red,11.5%,n,Rich & Toasty,2021
Istine Vigna Istine Chianti Classico,"Istine Vigna Istine Chianti Classico (Marsanne) is a refined red wine from Greece, specifically the e region. Produced from the 2008 vintage, it offers flavors of oak, flowers, spice and is best described as Bold & Spicy. Alcohol content: 11.5%.",$34.79,0.75,Marsanne,Natural Cork,Greece,"oak, flowers, spice",Red,11.5%,e,Bold & Spicy,2008
Produttori di Carema Carema,"Produttori di Carema Carema (Petite Sirah) is a refined red wine from Australia, specifically the South East Australia region. Produced from the 2011 vintage, it offers flavors of grape, earth, black currant and is best described as Delicate & Dry. Alcohol content: 12.0%.",$20.54,0.75,Petite Sirah,Natural Cork,Australia,"grape, earth, black currant",Red,12.0%,South East Australia,Delicate & Dry,2011
Daniel Crochet Sancerre Rouge Cuvee Prestige 2017,"Daniel Crochet Sancerre Rouge Cuvee Prestige 2017 (Pinot Noir) is a refined red wine from England, specifically the Hampshire region. Produced from the 2017 vintage, it offers flavors of date, leather, spice and is best described as Soft & Fruity. Alcohol content: 13.0%.",$37.47,0.75,Pinot Noir,Natural Cork,England,"date, leather, spice",Red,13.0%,Hampshire,Soft & Fruity,2017
Graziano Pra Monte Grande Soave Classico,"Graziano Pra Monte Grande Soave Classico (Soave) is a refined white wine from Portugal, specifically the Dao region. Produced from the 2002 vintage, it offers flavors of apricot, honey, berries and is best described as Savoury & Full Bodied. Alcohol content: 13.0%.",$7.00,0.75,Soave,Natural Cork,Portugal,"apricot, honey, berries",White,13.0%,Dao,Savoury & Full Bodied,2002
Catherine & Pierre Breton Chinon Les Beaux Monts 2022,"Catherine & Pierre Breton Chinon Les Beaux Monts 2022 (Lambrusco) is a refined red wine from Spain, specifically the Galicia region. Produced from the 2022 vintage, it offers flavors of hay, black currant, flowers and is best described as Ripe & Rounded. Alcohol content: 11.5%.",$57.00,0.75,Lambrusco,Natural Cork,Spain,"hay, black currant, flowers",Red,11.5%,Galicia,Ripe & Rounded,2022
Loimer Ried Loiserberg Riesling Kamptal DAC 2022,"Loimer Ried Loiserberg Riesling Kamptal DAC 2022 (Riesling) is a refined white wine from South Africa, specifically the Elgin region. Produced from the 2022 vintage, it offers flavors of strawberry, apricot, cinnamon and is best described as Crisp & Fruity. Alcohol content: 12.0%.",$10.55,0.75,Riesling,Natural Cork,South Africa,"strawberry, apricot, cinnamon",White,12.0%,Elgin,Crisp & Fruity,2022
